popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
68,379266,0.866,0.137,0.73,0,0.0843,0.625,-8.201,0.0767,118.523,5,4
43,318800,0.381,0.0189,0.832,0.196,0.153,0.166,-5.069,0.0492,120.255,8,4
60,217946,0.346,0.913,0.139,7.73E-05,0.0934,0.116,-15.326,0.0321,136.168,0,4
2,233000,0.466,0.089,0.438,5.62E-06,0.113,0.587,-12.858,0.0608,193.1,4,4
60,268000,0.419,0.00171,0.932,0,0.137,0.445,-3.604,0.106,169.881,1,4
27,129410,0.394,0.995,0.0475,0.955,0.105,0.172,-26.432,0.072,71.241,6,5
29,141888,0.504,0.994,0.0584,0.956,0.115,0.553,-20.461,0.0516,134.209,5,4
1,211173,0.586,0.000155,0.935,0.277,0.159,0.58,-9.386,0.0482,114.997,4,4
68,184640,0.603,0.0144,0.908,0,0.671,0.457,-5.254,0.184,133.063,11,4
0,189200,0.331,0.00344,0.876,0.000835,0.732,0.299,-1.894,0.0603,175.009,5,4
55,197189,0.349,0.000877,0.793,0.431,0.22,0.0398,-6.748,0.0677,127.139,10,4
52,182000,0.532,0.974,0.541,0.864,0.228,0.329,-11.932,0.0283,136.063,0,4
53,158117,0.382,0.497,0.333,0.918,0.106,0.0486,-15.573,0.0367,84.974,7,4
38,225680,0.543,0.000168,0.991,1.31E-05,0.374,0.766,-2.78,0.0668,150.031,9,4
84,295893,0.671,0.257,0.373,7.95E-05,0.0481,0.732,-18.064,0.0323,92.717,9,4
24,116625,0.456,0.993,0.0337,0.948,0.126,0.3,-26.87,0.0334,97.199,0,4
13,351560,0.492,0.000444,0.95,6.22E-05,0.22,0.391,-4.195,0.076,110.027,2,4
0,210626,0.402,1.19E-05,0.75,0.959,0.122,0.58,-7.358,0.0293,149.941,2,4
0,231893,0.279,0.00957,0.423,0.837,0.128,0.291,-12.06,0.038,101.571,4,4
51,180468,0.494,0.00248,0.847,0,0.0502,0.148,-3.996,0.0537,129.909,0,4
29,306600,0.189,0.113,0.427,0.0923,0.058,0.158,-9.08,0.0449,187.212,0,3
1,282026,0.429,0.00299,0.689,0.00193,0.152,0.23,-7.38,0.0379,105.04,7,4
39,225440,0.488,0.0303,0.879,0,0.288,0.483,-3.505,0.0514,94.003,6,3
39,219573,0.429,1.94E-05,0.982,0.0185,0.312,0.583,-2.962,0.0617,122.881,2,4
85,269560,0.422,0.922,0.264,0,0.132,0.331,-7.064,0.0322,119.93,8,4
22,170458,0.737,0.226,0.816,0.453,0.621,0.533,-9.22,0.0411,124.014,4,4
63,231200,0.363,0.0122,0.906,0,0.172,0.371,-4.415,0.0615,181.964,1,4
0,227639,0.391,0.992,0.0576,0.947,0.117,0.359,-25.585,0.0342,145.569,10,3
38,174244,0.391,0.995,0.0121,0.946,0.0959,0.118,-24.588,0.0852,68.128,1,4
0,256282,0.486,0.755,0.356,0.861,0.0986,0.111,-13.649,0.0318,117.141,9,4
36,280186,0.463,0.367,0.462,0.0012,0.356,0.189,-7.94,0.0272,131.273,1,4
58,197243,0.693,0.894,0.195,0.0325,0.126,0.315,-15.278,0.0446,116.725,11,4
22,288400,0.313,0.0642,0.973,1.22E-06,0.0581,0.118,-3.855,0.109,107.3,8,4
44,158483,0.664,0.00152,0.86,0.894,0.197,0.249,-4.505,0.0345,121.991,7,4
56,216026,0.388,0.0211,0.8,0,0.212,0.357,-6.33,0.0783,194.744,9,3
75,213800,0.613,0.00148,0.953,0.000582,0.152,0.537,-3.435,0.0855,105.046,2,4
55,193471,0.694,0.0195,0.824,0.0426,0.327,0.202,-6.306,0.161,123.014,8,4
51,310226,0.696,0.186,0.871,0.0282,0.173,0.8,-6.482,0.0357,118.938,1,4
53,155733,0.535,0.867,0.147,0.797,0.0825,0.238,-25.141,0.0382,126.823,2,4
48,162829,0.265,0.906,0.035,0.89,0.0932,0.0651,-26.502,0.0359,132.972,4,4
55,129936,0.346,0.929,0.0943,0.918,0.102,0.109,-13.632,0.0362,127.006,2,3
0,238466,0.396,0.00061,0.93,0,0.168,0.195,-2.939,0.1,154.777,8,4
56,174202,0.497,0.0306,0.865,0.0679,0.443,0.595,-3.19,0.0644,125.96,0,4
26,198746,0.383,0.993,0.0197,0.944,0.121,0.113,-28.192,0.0528,67.555,7,3
39,157930,0.512,0.351,0.352,0.74,0.106,0.275,-9.093,0.0354,82.943,5,4
57,193220,0.401,0.934,0.199,0.0064,0.112,0.0744,-14.409,0.0355,118.351,9,4
30,254886,0.471,0.689,0.289,0.000535,0.0865,0.225,-9.784,0.0258,146.352,6,4
0,290736,0.399,0.848,0.443,0.000406,0.0899,0.265,-9.168,0.0272,139.643,5,4
34,143212,0.408,0.987,0.00518,0.929,0.12,0.0381,-29.142,0.0355,72.291,5,3
39,311813,0.541,0.000248,0.968,8.28E-06,0.423,0.505,-4.129,0.0396,125.04,0,4
50,114195,0.44,0.827,0.384,0.934,0.156,0.0912,-12.331,0.0453,127.938,7,4
39,256688,0.572,0.835,0.155,0.000137,0.0906,0.0949,-14.405,0.0344,109.923,6,3
31,161463,0.732,0.127,0.52,0.0347,0.139,0.339,-6.684,0.0376,119.979,2,4
38,259529,0.531,0.000508,0.892,0.024,0.144,0.599,-4.54,0.0582,130.133,7,4
34,219215,0.321,0.984,0.11,0.963,0.115,0.173,-23.63,0.0345,73.914,8,4
85,215106,0.459,0.604,0.575,0,0.0885,0.183,-4.858,0.0573,111.881,3,4
0,322548,0.666,0.251,0.668,5.77E-06,0.499,0.765,-7.961,0.0523,132.666,0,4
60,230353,0.387,0.736,0.234,0,0.084,0.408,-8.861,0.0373,78.65,0,4
72,207680,0.868,0.308,0.347,2.00E-05,0.11,0.659,-9.529,0.0536,110.059,5,4
32,161750,0.171,0.89,0.185,0.94,0.101,0.264,-19.651,0.0348,142.694,9,4
0,456585,0.769,0.0305,0.701,0.85,0.0929,0.168,-9.089,0.062,123.011,5,4
55,220640,0.235,0.988,0.187,0.00197,0.106,0.118,-12.754,0.0347,85.962,6,4
32,308800,0.476,0.285,0.522,0.0127,0.193,0.0973,-8.159,0.0281,133.874,9,4
0,251160,0.407,0.344,0.549,0.901,0.111,0.32,-10.244,0.0293,77.473,9,4
37,233266,0.548,0.00016,0.864,0.00262,0.0354,0.5,-6.258,0.0557,95.569,1,4
53,180937,0.612,0.619,0.68,0,0.0786,0.346,-4.925,0.0346,127.909,0,4
0,159523,0.667,0.0326,0.857,0.464,0.27,0.301,-4.729,0.0468,125.946,2,4
63,181493,0.438,0.00842,0.938,1.08E-06,0.806,0.584,-5.611,0.094,160.212,6,4
46,279967,0.441,0.715,0.268,1.49E-06,0.11,0.057,-8.173,0.0308,140.073,6,4
52,121069,0.249,0.945,0.129,0.839,0.17,0.253,-18.167,0.0324,70.59,4,5
20,416353,0.519,0.931,0.236,0.133,0.127,0.283,-18.378,0.0362,80.008,2,4
0,165000,0.603,0.0186,0.902,0.683,0.105,0.135,-5.979,0.0494,127.973,5,4
46,158212,0.627,0.00919,0.944,0.00311,0.444,0.551,-4.459,0.344,126.078,5,4
0,420266,0.443,0.00393,0.722,0.0155,0.0373,0.167,-6.326,0.0865,111.324,6,4
48,260564,0.446,0.801,0.0586,0.85,0.0876,0.111,-26.416,0.0416,124.019,8,4
48,242213,0.775,0.00681,0.66,0.171,0.22,0.425,-7.929,0.0444,126.022,0,4
61,221826,0.537,0.00236,0.847,1.16E-06,0.0844,0.459,-5.208,0.0383,106.055,6,4
56,216607,0.621,0.716,0.345,0.921,0.091,0.113,-12.106,0.0295,117.683,0,4
0,166706,0.45,0.0108,0.877,0.000643,0.112,0.663,-6.676,0.156,108.501,8,4
29,166194,0.612,0.99,0.037,0.947,0.108,0.103,-18.855,0.0408,113.008,11,3
68,272800,0.552,0.0364,0.643,0.74,0.105,0.212,-7.36,0.0327,120.012,0,4
0,238933,0.663,0.18,0.957,0,0.348,0.937,-2.823,0.0584,125.678,11,4
84,220492,0.736,0.946,0.308,0,0.186,0.361,-7.83,0.0677,111.202,4,4
71,216733,0.736,0.00132,0.811,0.000142,0.107,0.609,-4.17,0.081,103.502,9,4
30,202405,0.31,0.985,0.0313,0.94,0.263,0.182,-23.55,0.0325,92.857,10,4
50,157960,0.554,0.628,0.667,0,0.0486,0.597,-10.226,0.0342,112.749,1,4
52,231723,0.186,0.886,0.271,0.961,0.141,0.0684,-17.149,0.0449,115.896,7,4
52,228706,0.435,0.014,0.774,0,0.127,0.448,-5.052,0.0631,147.466,2,4
42,316507,0.374,0.663,0.426,0.607,0.0886,0.0902,-7.395,0.0315,102.174,10,4
58,169384,0.507,0.00892,0.836,0.000598,0.485,0.333,-4.357,0.038,130.027,6,4
66,224673,0.614,0.000532,0.938,0,0.368,0.607,-4.461,0.0611,100.058,11,4
79,210240,0.419,0.000278,0.934,0.0015,0.132,0.286,-3.908,0.12,127.288,7,4
26,226266,0.341,0.983,0.0582,0.924,0.097,0.0514,-23.103,0.0472,83.05,8,4
44,238466,0.699,0.000532,0.87,0.0219,0.359,0.778,-4.925,0.0546,120.033,0,4
36,304217,0.18,0.956,0.0754,0.926,0.11,0.0366,-26.645,0.0346,71.675,9,4
51,162085,0.421,0.94,0.136,0.89,0.113,0.0505,-23.521,0.0305,110.036,11,4
0,252400,0.607,0.00259,0.935,0.000221,0.195,0.51,-2.918,0.0506,95.97,6,4
58,180614,0.351,0.93,0.24,0.904,0.101,0.0968,-15.363,0.034,79.919,9,3
0,169906,0.431,0.815,0.144,1.10E-06,0.124,0.0491,-12.07,0.039,137.683,11,4
51,189813,0.941,0.321,0.421,9.34E-05,0.0967,0.787,-7.918,0.0583,107.011,11,4
57,228666,0.619,0.237,0.663,0,0.111,0.142,-6.937,0.0366,123.93,7,4
36,268800,0.567,0.948,0.39,0.966,0.0802,0.133,-13.701,0.0301,99.997,0,4
55,179500,0.305,0.933,0.229,0.904,0.104,0.0562,-18.329,0.0334,121.599,1,4
1,273720,0.466,0.413,0.615,0,0.343,0.812,-9.102,0.0492,108.016,0,4
68,197800,0.476,0.0535,0.856,6.75E-06,0.0846,0.847,-3.764,0.161,158.671,7,4
51,172818,0.198,0.854,0.139,0.856,0.0773,0.106,-18.72,0.031,82.405,5,4
0,199773,0.696,0.000855,0.677,0.000247,0.0646,0.551,-4.178,0.0554,150.125,2,4
74,178466,0.455,0.889,0.292,0,0.106,0.43,-6.792,0.0563,84.339,0,5
45,229560,0.242,0.901,0.137,0.0105,0.167,0.0644,-16.332,0.0322,92.454,2,3
42,235594,0.825,0.00735,0.925,0.808,0.057,0.567,-7.502,0.0463,123.025,4,4
41,125161,0.686,0.0957,0.955,0.00621,0.0809,0.447,-3.665,0.113,123.978,1,4
34,162083,0.635,0.994,0.0302,0.952,0.107,0.237,-26.234,0.0401,83.222,1,1
57,232981,0.689,0.000455,0.456,0.882,0.07,0.238,-12.307,0.0339,126,2,4
0,175026,0.592,0.000295,0.932,7.59E-05,0.138,0.698,-4.491,0.0885,93.675,6,4
77,177466,0.855,0.0505,0.587,0.00714,0.105,0.64,-4.589,0.0336,111.97,8,4
46,153173,0.512,0.215,0.977,0,0.343,0.731,-4.505,0.0671,120.165,2,4
0,238640,0.515,0.0102,0.43,0.000141,0.129,0.104,-9.935,0.0369,91.841,7,4
40,153103,0.542,0.935,0.189,0.91,0.0932,0.0755,-16.57,0.0398,116,0,4
31,255760,0.379,0.0142,0.695,1.13E-05,0.196,0.432,-5.922,0.0705,193.672,0,4
51,170958,0.482,0.958,0.0257,0.923,0.104,0.144,-26.303,0.0323,109.98,9,4
60,155820,0.43,0.985,0.256,0.867,0.106,0.173,-22.088,0.0641,133.955,2,4
36,182222,0.391,0.969,0.231,0.954,0.116,0.0882,-17,0.0363,107.981,3,4
62,240400,0.494,0.935,0.267,5.58E-05,0.128,0.166,-11.54,0.0308,115.117,0,3
5,227906,0.639,0.78,0.492,0,0.117,0.666,-8.497,0.0288,87.033,5,4
53,234640,0.722,0.161,0.696,0,0.0755,0.93,-11.095,0.0901,115.397,2,4
9,260004,0.608,0.851,0.174,1.92E-05,0.0855,0.193,-8.796,0.0332,112.175,1,4
47,146666,0.555,0.00291,0.98,0,0.279,0.643,-2.849,0.0947,114.078,3,4
78,197732,0.629,0.761,0.327,2.96E-05,0.103,0.381,-8.285,0.029,74.953,11,4
41,168141,0.516,0.487,0.407,0.0235,0.252,0.17,-7.841,0.0283,74.894,9,4
77,282160,0.556,0.0193,0.913,8.59E-06,0.346,0.73,-2.36,0.0437,96.184,0,4
52,290093,0.642,0.726,0.475,0.786,0.12,0.453,-11.404,0.0294,103.955,2,3
29,179520,0.694,0.612,0.359,0.738,0.137,0.348,-16.105,0.0408,125.077,9,4
58,206419,0.526,0.64,0.471,0.817,0.096,0.286,-11.965,0.0424,119.972,0,4
56,394862,0.485,0.765,0.497,0.886,0.132,0.065,-10.022,0.0308,100.857,2,4
52,233062,0.435,0.668,0.333,0.834,0.084,0.074,-15.885,0.0308,90.902,8,4
0,216933,0.474,0.587,0.41,3.97E-06,0.114,0.37,-9.373,0.0644,125.085,7,3
0,145714,0.587,0.000405,0.97,0.772,0.202,0.146,-4.512,0.216,128.069,8,4
55,229657,0.532,0.924,0.382,0.61,0.134,0.0455,-17.683,0.0543,127.038,9,4
39,459506,0.379,0.000169,0.652,0.0043,0.077,0.0724,-5.406,0.0325,121.035,9,4
54,209626,0.296,0.000702,0.9,0,0.339,0.286,-4.918,0.0922,184.256,2,4
50,335636,0.27,0.939,0.0384,0.936,0.1,0.0708,-24.513,0.0361,59.81,11,4
0,255384,0.434,0.0418,0.531,0.00021,0.0941,0.0935,-10.05,0.0305,156.155,2,4
62,204374,0.604,0.0512,0.894,0.000315,0.234,0.415,-4.755,0.113,127.964,5,4
0,176129,0.701,0.119,0.95,0.00355,0.221,0.477,-3.026,0.0675,124.002,9,4
68,143975,0.545,0.785,0.478,0.00278,0.123,0.318,-7.035,0.0559,173.746,8,4
0,192133,0.686,0.0398,0.632,2.20E-06,0.0686,0.88,-11.433,0.0353,118.965,9,4
74,209413,0.563,0.0472,0.865,0.000191,0.77,0.601,-5.277,0.16,156.271,5,4
11,263973,0.602,0.00398,0.784,0.0852,0.0931,0.918,-7.976,0.0313,133.019,11,4
59,275226,0.604,0.0011,0.789,0.828,0.368,0.348,-6.259,0.0273,122.032,5,4
0,166280,0.831,0.594,0.544,0.00389,0.0736,0.856,-9.288,0.0837,108.177,0,4
70,222826,0.591,8.74E-05,0.963,0.000107,0.0781,0.609,-6.489,0.0531,125.03,0,4
62,196026,0.511,0.0108,0.622,4.51E-06,0.127,0.425,-5.727,0.0242,99.934,2,4
56,194571,0.616,0.71,0.202,0.678,0.0871,0.0773,-14.144,0.0383,139.857,11,4
56,240746,0.754,0.0186,0.804,0.0604,0.207,0.972,-7.189,0.0368,132.967,11,4
76,252613,0.354,0.000237,0.982,0.000294,0.204,0.194,-3.026,0.168,143.772,4,4
43,230600,0.524,0.0149,0.919,7.05E-05,0.131,0.848,-5.505,0.0436,87.931,4,4
0,243752,0.605,0.757,0.319,0.00237,0.116,0.273,-10.892,0.0306,109.603,10,4
49,155625,0.653,0.00775,0.907,0.82,0.342,0.238,-5.877,0.11,128.079,7,4
28,226400,0.339,0.937,0.142,0.91,0.0847,0.121,-21.613,0.0416,109.98,10,4
76,210240,0.772,0.491,0.256,0.00612,0.144,0.357,-8.545,0.0481,118.902,7,3
68,304506,0.749,0.0674,0.699,0.00192,0.0763,0.935,-13.108,0.0371,128.904,1,4
35,257815,0.158,0.965,0.0963,0.105,0.0752,0.0395,-18.225,0.0398,71.012,0,4
70,329680,0.59,0.277,0.828,5.57E-06,0.0868,0.636,-6.28,0.0439,111.353,0,4
54,257668,0.553,0.862,0.24,0.946,0.0932,0.164,-19.522,0.0304,128.986,10,3
51,237346,0.602,0.0992,0.926,0.0449,0.241,0.574,-1.62,0.0897,100.014,5,4
23,256906,0.651,0.199,0.503,0.644,0.0781,0.558,-10.906,0.0323,133.044,0,4
32,307000,0.211,0.903,0.0147,0.935,0.342,0.0667,-22.964,0.0456,169.899,2,3
43,183400,0.572,0.000181,0.99,0.000295,0.118,0.397,-1.992,0.066,106.912,1,4
60,200346,0.32,0.64,0.256,0.862,0.112,0.191,-17.98,0.0445,115.011,10,4
50,217987,0.444,0.449,0.497,0.722,0.081,0.25,-12.601,0.0383,99.093,5,4
57,310666,0.464,0.0665,0.38,0.898,0.114,0.0558,-8.052,0.0279,100.006,7,3
0,199200,0.631,0.248,0.547,0.000119,0.0523,0.962,-12.626,0.036,94.533,6,4
49,166211,0.879,0.019,0.908,2.62E-06,0.309,0.759,-4.422,0.126,123.036,11,4
0,316880,0.282,0.568,0.476,0.0185,0.157,0.186,-6.524,0.0274,187.604,2,3
63,139506,0.813,0.245,0.619,0.0151,0.113,0.774,-8.203,0.0294,114.58,7,4
51,150947,0.639,0.00288,0.974,0.596,0.349,0.353,-4.13,0.057,130,7,4
43,205706,0.368,3.44E-05,0.967,3.44E-05,0.317,0.537,-3.464,0.0566,194.982,2,4
87,240133,0.567,0.839,0.267,1.46E-06,0.089,0.0592,-6.502,0.0299,110.011,4,4
45,480758,0.332,0.954,0.255,0.752,0.0784,0.134,-13.698,0.0309,187.786,9,4
53,202400,0.537,0.899,0.201,0.00163,0.077,0.196,-12.948,0.033,134.087,2,4
70,270920,0.468,0.00014,0.769,0.00124,0.271,0.17,-7.036,0.041,104.102,4,4
19,188346,0.7,0.113,0.751,0.00129,0.241,0.246,-3.853,0.0566,124.027,4,4
0,181666,0.491,0.000285,0.831,7.88E-05,0.0761,0.828,-5.321,0.0349,193.968,6,4
66,172645,0.411,0.103,0.962,0,0.529,0.622,-5.952,0.0917,173.143,4,4
40,198077,0.416,0.882,0.11,0.873,0.116,0.347,-13.776,0.0423,120.024,11,4
51,185250,0.579,0.73,0.411,0.8,0.0945,0.125,-13.068,0.0329,79.988,6,1
37,176000,0.474,0.973,0.161,0.907,0.113,0.357,-20.952,0.043,82.892,5,3
32,197800,0.42,0.98,0.135,0.941,0.0974,0.155,-20.518,0.0815,118.9,4,4
31,209052,0.587,0.379,0.713,0.439,0.332,0.816,-8.858,0.0268,130.05,1,4
47,240000,0.5,0.671,0.185,0,0.0827,0.159,-13.209,0.0302,140.148,1,4
34,253904,0.428,0.985,0.0517,0.945,0.11,0.13,-21.74,0.0548,111.311,3,4
42,155546,0.609,0.017,0.912,0.0335,0.44,0.533,-3.823,0.0486,128,0,4
33,159292,0.205,0.98,0.202,0.85,0.128,0.086,-15.952,0.0427,113.057,1,4
39,131116,0.2,0.896,0.138,0.929,0.207,0.138,-20.417,0.0301,71.631,0,4
31,448426,0.614,0.521,0.498,0.855,0.136,0.418,-14.325,0.0466,120.003,10,3
47,364743,0.532,0.000312,0.664,0.0427,0.303,0.075,-9.804,0.0603,128.973,1,4
51,190526,0.273,0.238,0.161,0.481,0.133,0.0503,-17.727,0.053,113.89,4,4
51,204624,0.475,0.995,0.109,0.948,0.127,0.405,-29.839,0.0303,99.008,2,4
52,159049,0.517,0.901,0.397,0.867,0.11,0.195,-14.281,0.0289,100.005,0,4
50,228971,0.481,0.0238,0.922,0.00185,0.0971,0.246,-4.17,0.064,127.931,3,4
46,284878,0.64,0.000211,0.667,0.899,0.0748,0.288,-10.19,0.0379,122.994,11,4
76,215160,0.526,0.00126,0.763,6.75E-05,0.359,0.514,-12.663,0.0341,136.205,0,4
0,245933,0.467,0.00578,0.876,0.00592,0.0453,0.131,-4.841,0.0693,135.055,10,4
45,166000,0.352,0.986,0.0246,0.928,0.107,0.174,-27.226,0.0419,78.809,9,4
34,184000,0.312,0.994,0.00811,0.961,0.1,0.0703,-30.381,0.0389,115.486,1,4
52,156631,0.534,8.05E-05,0.957,0.758,0.266,0.52,-4.025,0.0455,95.046,1,4
39,168560,0.478,4.65E-05,0.942,0.0336,0.061,0.726,-2.71,0.08,173.515,1,4
55,207226,0.481,0.688,0.6,0.00633,0.963,0.818,-8.722,0.0801,124.637,6,4
78,248413,0.794,0.0426,0.811,1.07E-06,0.101,0.862,-8.966,0.038,116.047,6,4
53,250200,0.883,0.225,0.664,2.30E-06,0.941,0.8,-10.395,0.411,118.104,4,4
0,191239,0.544,0.000115,0.97,3.34E-05,0.238,0.349,-3.78,0.0532,103.909,1,4
0,126120,0.664,0.511,0.352,0.806,0.109,0.45,-9.426,0.0278,87.054,2,4
53,176373,0.0789,0.733,0.16,0.786,0.0943,0.0409,-18.144,0.0362,56.449,7,4
59,187120,0.242,0.0148,0.992,0.113,0.833,0.374,-3.9,0.0988,159.37,4,4
46,168750,0.547,0.00129,0.895,0.107,0.288,0.0353,-7.081,0.0683,128.022,5,4
66,495400,0.87,0.149,0.657,0.0102,0.053,0.893,-7.32,0.0522,110.596,2,4
66,217746,0.403,0.387,0.495,8.03E-06,0.147,0.38,-6.888,0.0312,132.912,10,4
69,256786,0.484,0.406,0.457,0.646,0.297,0.187,-13.976,0.0456,87.159,1,4
0,200146,0.284,0.848,0.262,0.00483,0.0966,0.107,-9.869,0.028,98.66,11,4
31,159866,0.566,0.995,0.00792,0.909,0.0874,0.0621,-34.484,0.0445,61.167,3,4
21,235813,0.365,0.994,0.00656,0.888,0.119,0.0809,-21.678,0.0427,68.17,8,5
11,139050,0.353,0.969,0.0544,0.915,0.106,0.158,-22.657,0.0408,74.883,8,4
27,133125,0.373,0.978,0.191,0.944,0.0737,0.411,-24.099,0.0302,96.682,7,4
65,231786,0.694,0.0153,0.881,0.0196,0.0851,0.924,-4.053,0.0701,121.554,1,4
50,267152,0.845,0.0447,0.744,0.343,0.13,0.694,-9.539,0.0567,126,10,4
44,203173,0.382,0.127,0.907,5.65E-06,0.0915,0.346,-6.383,0.295,183.35,10,4
58,195000,0.59,0.000753,0.888,0.00535,0.817,0.0715,-4.151,0.0797,128.025,0,4
